"Process Group","Process","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"Planning","Sequence Activities","The project manager is waiting for a permit from the city government before construction can begin. This is an example of:","A. Discretionary Dependency","B. Internal Dependency","C. External Dependency","D. Soft Logic","C","Solution: C. External dependencies involve a relationship between project activities and non-project activities (e.g., government hearings, supplier deliveries)."
"Planning","Estimate Activity Durations","A project manager asks an expert to estimate a task. The expert says, 'It usually takes 10 days, but if things go great, it could be 8. If everything breaks, it could take 18.' Using Beta PERT (Weighted Average), what is the estimate?","A. 10 days","B. 11 days","C. 12 days","D. 13 days","B","Solution: B. Beta PERT Formula = (Optimistic + 4*MostLikely + Pessimistic) / 6. Calculation: (8 + 4*10 + 18) / 6 = (8 + 40 + 18) / 6 = 66 / 6 = 11 days."
"Planning","Estimate Activity Durations","The team is using a historical project that is very similar to the current one to estimate duration. This is a quick, less accurate method known as:","A. Parametric Estimating","B. Bottom-Up Estimating","C. Analogous Estimating","D. Three-Point Estimating","C","Solution: C. Analogous Estimating uses values from a previous, similar project as the basis for estimating the current project. It is gross value estimating, generally less accurate but faster."
"Planning","Estimate Activity Durations","Which estimating technique involves multiplying the quantity of work to be performed by the historical productivity rate (e.g., 100 sq ft per hour)?","A. Analogous Estimating","B. Parametric Estimating","C. Bottom-Up Estimating","D. Planning Poker","B","Solution: B. Parametric Estimating uses a statistical relationship between relevant historical data and other variables (e.g., square footage) to calculate an estimate."
"Planning","Estimate Activity Durations","A team member adds a 2-week 'buffer' to their estimate just to be safe, without identifying specific risks. This is a common problem known as:","A. Padding","B. Contingency Reserve","C. Management Reserve","D. Crashing","A","Solution: A. Padding is adding extra time/cost without a valid risk basis. Proper risk management adds 'Reserves' (Contingency for known risks, Management for unknown risks). Padding is discouraged."
"Planning","Estimate Activity Durations","In an agile poker planning session, the team uses Fibonacci numbers (1, 2, 3, 5, 8...) to estimate user stories. What are they estimating?","A. Exact hours","B. Relative size/effort (Story Points)","C. Dollar cost","D. Calendar dates","B","Solution: B. Agile teams often use Story Points to estimate the relative magnitude or effort of work, rather than specific time durations."
"Planning","Develop Schedule","The project manager calculates the schedule and finds that the Critical Path is 50 days long. What does this mean?","A. The project can be finished in 40 days if needed.","B. The project will take at least 50 days to complete.","C. All activities have 50 days of float.","D. Resources are available for 50 days.","B","Solution: B. The Critical Path is the longest path through the network diagram, which determines the shortest possible duration of the project. It dictates the minimum time needed."
"Planning","Develop Schedule","You need to shorten the project schedule by 2 weeks without changing the scope. You decide to add 3 extra resources to the critical path tasks. This technique is called:","A. Fast Tracking","B. Crashing","C. Resource Leveling","D. Scope Creep","B","Solution: B. Crashing creates a trade-off where you add resources (cost) to decrease duration. Fast Tracking involves doing tasks in parallel."
"Planning","Develop Schedule","Which resource optimization technique adjusts the schedule to manage resource limits but does NOT change the Critical Path?","A. Resource Leveling","B. Resource Smoothing","C. Crashing","D. Fast Tracking","B","Solution: B. Resource Smoothing adjusts the activities within their free and total float. It does not delay the project completion date (Critical Path), whereas Resource Leveling often extends the schedule."
"Planning","Develop Schedule","A project activity has Early Start (ES) = 5 and Late Start (LS) = 10. What is the Total Float for this activity?","A. 5 days","B. 15 days","C. 0 days","D. -5 days","A","Solution: A. Total Float = LS - ES (or LF - EF). 10 - 5 = 5 days. This means the activity can be delayed 5 days without delaying the project finish date."
"Planning","Develop Schedule","The project manager presents the final schedule timeline to the stakeholders for approval. Once approved, this document becomes the:","A. Schedule Data","B. Schedule Baseline","C. Project Calendar","D. Work Performance Information","B","Solution: B. The Schedule Baseline is the approved version of the schedule model that can be changed only through formal change control procedures."
